date,name,sales
2024-07,Peach Glow,45
2024-08,Peach Glow,31
2024-09,Peach Glow,20
2024-10,Peach Glow,20
2024-11,Peach Glow,20
2024-12,Peach Glow,20
2024-01,Burnt Sienna,137
2024-02,Burnt Sienna,137
2024-03,Burnt Sienna,145
2024-04,Burnt Sienna,128
2024-05,Burnt Sienna,90
2024-06,Burnt Sienna,108
2024-07,Burnt Sienna,108
2024-08,Burnt Sienna,90
2024-09,Burnt Sienna,78
2024-10,Burnt Sienna,34
2024-11,Burnt Sienna,104
2024-12,Burnt Sienna,78
2024-01,Amber Light,111
2024-02,Amber Light,135
2024-03,Amber Light,132
2024-04,Amber Light,138
2024-05,Amber Light,154
2024-06,Amber Light,152
2024-07,Amber Light,194
2024-08,Amber Light,180
2024-09,Amber Light,213
2024-10,Amber Light,233
2024-11,Amber Light,194
2024-12,Amber Light,273
2024-01,Tangerine Pop,150
2024-02,Tangerine Pop,164
2024-03,Tangerine Pop,159
2024-04,Tangerine Pop,178
2024-05,Tangerine Pop,227
2024-06,Tangerine Pop,224
2024-07,Tangerine Pop,201
2024-08,Tangerine Pop,189
2024-09,Tangerine Pop,244
2024-10,Tangerine Pop,268
2024-11,Tangerine Pop,276
2024-12,Tangerine Pop,218
2024-01,Forest Green,78
2024-02,Forest Green,83
2024-03,Forest Green,69
2024-04,Forest Green,44
2024-05,Forest Green,53
2024-06,Forest Green,54
2024-07,Forest Green,42
2024-08,Forest Green,23
2024-09,Forest Green,36
2024-10,Forest Green,20
2024-11,Forest Green,27
2024-12,Forest Green,20
2024-01,Mint Green,125
2024-02,Mint Green,153
2024-03,Mint Green,139
2024-04,Mint Green,132
2024-05,Mint Green,155
2024-06,Mint Green,210
2024-07,Mint Green,199
2024-08,Mint Green,188
2024-09,Mint Green,190
2024-10,Mint Green,197
2024-11,Mint Green,242
2024-12,Mint Green,238
2024-01,Olive Shade,69
2024-02,Olive Shade,81
2024-03,Olive Shade,60
2024-04,Olive Shade,96
2024-05,Olive Shade,96
2024-06,Olive Shade,94
2024-07,Olive Shade,105
2024-08,Olive Shade,142
2024-09,Olive Shade,151
2024-10,Olive Shade,114
2024-11,Olive Shade,101
2024-12,Olive Shade,181
2024-01,Emerald Shine,184
2024-02,Emerald Shine,173
2024-03,Emerald Shine,172
2024-04,Emerald Shine,155
2024-05,Emerald Shine,122
2024-06,Emerald Shine,134
2024-07,Emerald Shine,130
2024-08,Emerald Shine,103
2024-09,Emerald Shine,148
2024-10,Emerald Shine,102
2024-11,Emerald Shine,55
2024-12,Emerald Shine,95
2024-01,Pine Green,93
2024-02,Pine Green,102
2024-03,Pine Green,105
2024-04,Pine Green,97
2024-05,Pine Green,68
2024-06,Pine Green,71
2024-07,Pine Green,66
2024-08,Pine Green,92
2024-09,Pine Green,28
2024-10,Pine Green,20
2024-11,Pine Green,29
2024-12,Pine Green,26
2024-01,Royal Purple,177
2024-02,Royal Purple,172
2024-03,Royal Purple,161
2024-04,Royal Purple,158
2024-05,Royal Purple,151
2024-06,Royal Purple,135
2024-07,Royal Purple,115
2024-08,Royal Purple,140
2024-09,Royal Purple,57
2024-10,Royal Purple,97
2024-11,Royal Purple,97
2024-12,Royal Purple,96
2024-01,Lavender Mist,88
2024-02,Lavender Mist,75
2024-03,Lavender Mist,41
2024-04,Lavender Mist,49
2024-05,Lavender Mist,33
2024-06,Lavender Mist,22
2024-07,Lavender Mist,41
2024-08,Lavender Mist,20
2024-09,Lavender Mist,41
2024-10,Lavender Mist,20
2024-11,Lavender Mist,20
2024-12,Lavender Mist,20
2024-01,Plum Rich,150
2024-02,Plum Rich,143
2024-03,Plum Rich,124
2024-04,Plum Rich,133
2024-05,Plum Rich,139
2024-06,Plum Rich,80
2024-07,Plum Rich,96
2024-08,Plum Rich,48
2024-09,Plum Rich,88
2024-10,Plum Rich,120
2024-11,Plum Rich,28
2024-12,Plum Rich,64
2024-01,Violet Glow,155
2024-02,Violet Glow,131
2024-03,Violet Glow,173
2024-04,Violet Glow,156
2024-05,Violet Glow,202
2024-06,Violet Glow,187
2024-07,Violet Glow,187
2024-08,Violet Glow,184
2024-09,Violet Glow,226
2024-10,Violet Glow,166
2024-11,Violet Glow,215
2024-12,Violet Glow,256
2024-01,Grape Wine,178
2024-02,Grape Wine,148
2024-03,Grape Wine,162
2024-04,Grape Wine,144
2024-05,Grape Wine,121
2024-06,Grape Wine,147
2024-07,Grape Wine,110
2024-08,Grape Wine,116
2024-09,Grape Wine,104
2024-10,Grape Wine,47
2024-11,Grape Wine,78
2024-12,Grape Wine,101
2024-01,Charcoal Black,207
2024-02,Charcoal Black,241
2024-03,Charcoal Black,219
2024-04,Charcoal Black,241
2024-05,Charcoal Black,251
2024-06,Charcoal Black,279
2024-07,Charcoal Black,297
2024-08,Charcoal Black,306
2024-09,Charcoal Black,255
2024-10,Charcoal Black,280
2024-11,Charcoal Black,320
2024-12,Charcoal Black,291
2024-01,Ivory White,135
2024-02,Ivory White,148
2024-03,Ivory White,167
2024-04,Ivory White,151
2024-05,Ivory White,184
2024-06,Ivory White,171
2024-07,Ivory White,191
2024-08,Ivory White,186
2024-09,Ivory White,225
2024-10,Ivory White,198
2024-11,Ivory White,177
2024-12,Ivory White,261
2024-01,Ash Grey,51
2024-02,Ash Grey,72
2024-03,Ash Grey,95
2024-04,Ash Grey,89
2024-05,Ash Grey,70
2024-06,Ash Grey,101
2024-07,Ash Grey,105
2024-08,Ash Grey,140
2024-09,Ash Grey,105
2024-10,Ash Grey,145
2024-11,Ash Grey,138
2024-12,Ash Grey,160
2024-01,Slate Grey,94
2024-02,Slate Grey,121
2024-03,Slate Grey,128
2024-04,Slate Grey,105
2024-05,Slate Grey,126
2024-06,Slate Grey,145
2024-07,Slate Grey,182
2024-08,Slate Grey,133
2024-09,Slate Grey,149
2024-10,Slate Grey,168
2024-11,Slate Grey,187
2024-12,Slate Grey,166
2024-01,Pearl White,157
2024-02,Pearl White,157
2024-03,Pearl White,124
2024-04,Pearl White,123
2024-05,Pearl White,118
2024-06,Pearl White,90
2024-07,Pearl White,103
2024-08,Pearl White,68
2024-09,Pearl White,91
2024-10,Pearl White,112
2024-11,Pearl White,68
2024-12,Pearl White,52
2024-01,Crimson Red,224
2024-02,Crimson Red,219
2024-03,Crimson Red,210
2024-04,Crimson Red,232
2024-05,Crimson Red,252
2024-06,Crimson Red,250
2024-07,Crimson Red,260
2024-08,Crimson Red,298
2024-09,Crimson Red,301
2024-10,Crimson Red,273
2024-11,Crimson Red,306
2024-12,Crimson Red,290
2024-01,Cherry Red,166
2024-02,Cherry Red,203
2024-03,Cherry Red,219
2024-04,Cherry Red,186
2024-05,Cherry Red,195
2024-06,Cherry Red,210
2024-07,Cherry Red,198
2024-08,Cherry Red,253
2024-09,Cherry Red,232
2024-10,Cherry Red,265
2024-11,Cherry Red,279
2024-12,Cherry Red,308
2024-01,Rose Red,125
2024-02,Rose Red,130
2024-03,Rose Red,132
2024-04,Rose Red,108
2024-05,Rose Red,105
2024-06,Rose Red,109
2024-07,Rose Red,103
2024-08,Rose Red,82
2024-09,Rose Red,89
2024-10,Rose Red,104
2024-11,Rose Red,20
2024-12,Rose Red,72
2024-01,Brick Red,104
2024-02,Brick Red,95
2024-03,Brick Red,118
2024-04,Brick Red,76
2024-05,Brick Red,79
2024-06,Brick Red,76
2024-07,Brick Red,78
2024-08,Brick Red,64
2024-09,Brick Red,69
2024-10,Brick Red,20
2024-11,Brick Red,59
2024-12,Brick Red,20
2024-01,Wine Red,140
2024-02,Wine Red,154
2024-03,Wine Red,155
2024-04,Wine Red,118
2024-05,Wine Red,109
2024-06,Wine Red,131
2024-07,Wine Red,78
2024-08,Wine Red,126
2024-09,Wine Red,105
2024-10,Wine Red,84
2024-11,Wine Red,84
2024-12,Wine Red,68
2024-01,Rose Pink,92
2024-02,Rose Pink,77
2024-03,Rose Pink,77
2024-04,Rose Pink,65
2024-05,Rose Pink,40
2024-06,Rose Pink,20
2024-07,Rose Pink,20
2024-08,Rose Pink,20
2024-09,Rose Pink,47
2024-10,Rose Pink,26
2024-11,Rose Pink,20
2024-12,Rose Pink,20
2024-01,Coral Blush,160
2024-02,Coral Blush,187
2024-03,Coral Blush,188
2024-04,Coral Blush,173
2024-05,Coral Blush,198
2024-06,Coral Blush,193
2024-07,Coral Blush,209
2024-08,Coral Blush,208
2024-09,Coral Blush,249
2024-10,Coral Blush,262
2024-11,Coral Blush,284
2024-12,Coral Blush,263
2024-01,Bubblegum Pink,148
2024-02,Bubblegum Pink,116
2024-03,Bubblegum Pink,136
2024-04,Bubblegum Pink,129
2024-05,Bubblegum Pink,93
2024-06,Bubblegum Pink,95
2024-07,Bubblegum Pink,82
2024-08,Bubblegum Pink,77
2024-09,Bubblegum Pink,68
2024-10,Bubblegum Pink,61
2024-11,Bubblegum Pink,32
2024-12,Bubblegum Pink,31
2024-01,Dusty Pink,121
2024-02,Dusty Pink,85
2024-03,Dusty Pink,93
2024-04,Dusty Pink,108
2024-05,Dusty Pink,64
2024-06,Dusty Pink,38
2024-07,Dusty Pink,37
2024-08,Dusty Pink,58
2024-09,Dusty Pink,55
2024-10,Dusty Pink,20
2024-11,Dusty Pink,20
2024-12,Dusty Pink,20
2024-01,Flamingo Pink,137
2024-02,Flamingo Pink,150
2024-03,Flamingo Pink,176
2024-04,Flamingo Pink,156
2024-05,Flamingo Pink,194
2024-06,Flamingo Pink,187
2024-07,Flamingo Pink,189
2024-08,Flamingo Pink,206
2024-09,Flamingo Pink,260
2024-10,Flamingo Pink,217
2024-11,Flamingo Pink,234
2024-12,Flamingo Pink,272
2024-01,Mustard Yellow,88
2024-02,Mustard Yellow,81
2024-03,Mustard Yellow,92
2024-04,Mustard Yellow,63
2024-05,Mustard Yellow,55
2024-06,Mustard Yellow,44
2024-07,Mustard Yellow,36
2024-08,Mustard Yellow,59
2024-09,Mustard Yellow,20
2024-10,Mustard Yellow,20
2024-11,Mustard Yellow,28
2024-12,Mustard Yellow,42
2024-01,Golden Sand,116
2024-02,Golden Sand,128
2024-03,Golden Sand,150
2024-04,Golden Sand,184
2024-05,Golden Sand,155
2024-06,Golden Sand,165
2024-07,Golden Sand,181
2024-08,Golden Sand,165
2024-09,Golden Sand,206
2024-10,Golden Sand,228
2024-11,Golden Sand,256
2024-12,Golden Sand,263
2024-01,Lemon Zest,109
2024-02,Lemon Zest,143
2024-03,Lemon Zest,129
2024-04,Lemon Zest,161
2024-05,Lemon Zest,162
2024-06,Lemon Zest,191
2024-07,Lemon Zest,156
2024-08,Lemon Zest,159
2024-09,Lemon Zest,188
2024-10,Lemon Zest,150
2024-11,Lemon Zest,199
2024-12,Lemon Zest,204
2024-01,Sunflower,142
2024-02,Sunflower,171
2024-03,Sunflower,192
2024-04,Sunflower,174
2024-05,Sunflower,172
2024-06,Sunflower,211
2024-07,Sunflower,216
2024-08,Sunflower,216
2024-09,Sunflower,263
2024-10,Sunflower,216
2024-11,Sunflower,217
2024-12,Sunflower,274
2024-01,Honey Glow,143
2024-02,Honey Glow,162
2024-03,Honey Glow,155
2024-04,Honey Glow,154
2024-05,Honey Glow,161
2024-06,Honey Glow,182
2024-07,Honey Glow,185
2024-08,Honey Glow,199
2024-09,Honey Glow,217
2024-10,Honey Glow,194
2024-11,Honey Glow,185
2024-12,Honey Glow,255
2024-01,Teal Splash,192
2024-02,Teal Splash,185
2024-03,Teal Splash,199
2024-04,Teal Splash,196
2024-05,Teal Splash,210
2024-06,Teal Splash,237
2024-07,Teal Splash,266
2024-08,Teal Splash,211
2024-09,Teal Splash,219
2024-10,Teal Splash,237
2024-11,Teal Splash,290
2024-12,Teal Splash,302
2024-01,Aqua Marine,145
2024-02,Aqua Marine,160
2024-03,Aqua Marine,157
2024-04,Aqua Marine,177
2024-05,Aqua Marine,210
2024-06,Aqua Marine,213
2024-07,Aqua Marine,189
2024-08,Aqua Marine,173
2024-09,Aqua Marine,240
2024-10,Aqua Marine,202
2024-11,Aqua Marine,242
2024-12,Aqua Marine,190
2024-01,Seafoam Green,146
2024-02,Seafoam Green,155
2024-03,Seafoam Green,136
2024-04,Seafoam Green,173
2024-05,Seafoam Green,146
2024-06,Seafoam Green,191
2024-07,Seafoam Green,186
2024-08,Seafoam Green,186
2024-09,Seafoam Green,207
2024-10,Seafoam Green,202
2024-11,Seafoam Green,195
2024-12,Seafoam Green,231
2024-01,Turquoise Blue,164
2024-02,Turquoise Blue,164
2024-03,Turquoise Blue,135
2024-04,Turquoise Blue,155
2024-05,Turquoise Blue,130
2024-06,Turquoise Blue,116
2024-07,Turquoise Blue,150
2024-08,Turquoise Blue,108
2024-09,Turquoise Blue,110
2024-10,Turquoise Blue,122
2024-11,Turquoise Blue,111
2024-12,Turquoise Blue,109
2024-01,Lagoon Blue,160
2024-02,Lagoon Blue,139
2024-03,Lagoon Blue,158
2024-04,Lagoon Blue,149
2024-05,Lagoon Blue,209
2024-06,Lagoon Blue,199
2024-07,Lagoon Blue,230
2024-08,Lagoon Blue,219
2024-09,Lagoon Blue,223
2024-10,Lagoon Blue,241
2024-11,Lagoon Blue,232
2024-12,Lagoon Blue,289
2024-01,Chocolate Brown,164
2024-02,Chocolate Brown,163
2024-03,Chocolate Brown,122
2024-04,Chocolate Brown,112
2024-05,Chocolate Brown,108
2024-06,Chocolate Brown,113
2024-07,Chocolate Brown,72
2024-08,Chocolate Brown,70
2024-09,Chocolate Brown,62
2024-10,Chocolate Brown,85
2024-11,Chocolate Brown,78
2024-12,Chocolate Brown,75
2024-01,Walnut Brown,122
2024-02,Walnut Brown,113
2024-03,Walnut Brown,140
2024-04,Walnut Brown,123
2024-05,Walnut Brown,153
2024-06,Walnut Brown,171
2024-07,Walnut Brown,176
2024-08,Walnut Brown,203
2024-09,Walnut Brown,171
2024-10,Walnut Brown,175
2024-11,Walnut Brown,180
2024-12,Walnut Brown,251
2024-01,Caramel Cream,127
2024-02,Caramel Cream,163
2024-03,Caramel Cream,171
2024-04,Caramel Cream,145
2024-05,Caramel Cream,170
2024-06,Caramel Cream,187
2024-07,Caramel Cream,189
2024-08,Caramel Cream,190
2024-09,Caramel Cream,208
2024-10,Caramel Cream,197
2024-11,Caramel Cream,203
2024-12,Caramel Cream,178
2024-01,Mocha Blend,140
2024-02,Mocha Blend,175
2024-03,Mocha Blend,137
2024-04,Mocha Blend,119
2024-05,Mocha Blend,124
2024-06,Mocha Blend,80
2024-07,Mocha Blend,132
2024-08,Mocha Blend,79
2024-09,Mocha Blend,83
2024-10,Mocha Blend,59
2024-11,Mocha Blend,108
2024-12,Mocha Blend,103
2024-01,Sandstone Beige,124
2024-02,Sandstone Beige,95
2024-03,Sandstone Beige,101
2024-04,Sandstone Beige,101
2024-05,Sandstone Beige,69
2024-06,Sandstone Beige,80
2024-07,Sandstone Beige,71
2024-08,Sandstone Beige,73
2024-09,Sandstone Beige,85
2024-10,Sandstone Beige,27
2024-11,Sandstone Beige,73
2024-12,Sandstone Beige,36
